2018/12/22 15:16:57 SingleServerWithActor.go:34: info Override node info:[ node_master ]
2018/12/22 15:16:57 netapi.go:159: info ====== start to register API group: [ TestApi ] ======
2018/12/22 15:16:57 netapi.go:202: info Add api: [ TestCreateRoom ], handler: [ TestApi.CreateRoom(*network.Session,*TestCreateRoom) ]
2018/12/22 15:16:57 netapi.go:202: info Add api: [ TestMessage ], handler: [ TestApi.Hello(*network.Session,*TestMessage) ]
2018/12/22 15:16:57 netapi.go:205: info ======   register API group: [ TestApi ] end   ======
2018/12/22 15:16:57 server.go:240: info rpc.Register: service: [ InnerResponse ], method [ HeartBeat ] is registed
2018/12/22 15:16:57 NodeComponent.go:122: info NodeComponent RPC server listening on: [ 0.0.0.0:6666 ]
2018/12/22 15:16:57 server.go:240: info rpc.Register: service: [ ActorProxyService ], method [ ServiceCall ] is registed
2018/12/22 15:16:57 server.go:240: info rpc.Register: service: [ ActorProxyService ], method [ Tell ] is registed
2018/12/22 15:16:57 server.go:240: info rpc.Register: service: [ MasterService ], method [ NodeInfoSync ] is registed
2018/12/22 15:16:57 server.go:240: info rpc.Register: service: [ MasterService ], method [ NodeInquiry ] is registed
2018/12/22 15:16:57 server.go:240: info rpc.Register: service: [ MasterService ], method [ NodeInquiryDetail ] is registed
2018/12/22 15:16:57 server.go:240: info rpc.Register: service: [ MasterService ], method [ ReportNodeClose ] is registed
2018/12/22 15:16:57 server.go:240: info rpc.Register: service: [ MasterService ], method [ ReportNodeInfo ] is registed
2018/12/22 15:16:57 component_group.go:26: info Attach component [ master.*Cluster.MasterComponent ] to [ master ]
2018/12/22 15:16:57 component_group.go:26: info Attach component [ master.*Actor.ActorComponent ] to [ master ]
2018/12/22 15:17:02 SingleServerWithActor.go:34: info Override node info:[ node_gate ]
2018/12/22 15:17:02 SingleServerWithActor.go:24: info listen tcp 127.0.0.1:7070: bind: Only one usage of each socket address (protocol/network address/port) is normally permitted.
2018/12/22 15:17:02 netapi.go:159: info ====== start to register API group: [ TestApi ] ======
2018/12/22 15:17:02 netapi.go:202: info Add api: [ TestCreateRoom ], handler: [ TestApi.CreateRoom(*network.Session,*TestCreateRoom) ]
2018/12/22 15:17:02 netapi.go:202: info Add api: [ TestMessage ], handler: [ TestApi.Hello(*network.Session,*TestMessage) ]
2018/12/22 15:17:02 netapi.go:205: info ======   register API group: [ TestApi ] end   ======
2018/12/22 15:17:02 server.go:240: info rpc.Register: service: [ InnerResponse ], method [ HeartBeat ] is registed
2018/12/22 15:17:02 NodeComponent.go:122: info NodeComponent RPC server listening on: [ 0.0.0.0:6601 ]
2018/12/22 15:17:02 server.go:240: info rpc.Register: service: [ ActorProxyService ], method [ ServiceCall ] is registed
2018/12/22 15:17:02 server.go:240: info rpc.Register: service: [ ActorProxyService ], method [ Tell ] is registed
2018/12/22 15:17:02 component_group.go:26: info Attach component [ gate.*gate.DefaultGateComponent ] to [ gate ]
2018/12/22 15:17:02 wshandler.go:96: info Websocket server listening and serving HTTP on [ 0.0.0.0:5555 ]
2018/12/22 15:17:02 component_group.go:26: info Attach component [ gate.*Actor.ActorComponent ] to [ gate ]
2018/12/22 15:17:02 component_group.go:26: info Attach component [ child.*Cluster.ChildComponent ] to [ child ]
2018/12/22 15:17:02 ChildComponent.go:114: info  Looking for master ......
2018/12/22 15:17:02 component_group.go:26: info Attach component [ child.*Actor.ActorComponent ] to [ child ]
2018/12/22 15:17:02 NodeComponent.go:356: info   connect to node: [ 127.0.0.1:6666 ] success
2018/12/22 15:17:02 server.go:564: debug 127.0.0.1:52012
2018/12/22 15:17:02 ChildComponent.go:133: info Connected to master [ 127.0.0.1:6666 ]
2018/12/22 15:17:03 MasterComponent.go:70: info Node [ 127.0.0.1:6601 ] connected to this master, roles: [ gate  ]
2018/12/22 15:17:03 MasterService.go:44: debug Inquiry :[Group defaultApp location]
2018/12/22 15:17:04 MasterService.go:44: debug Inquiry :[Group defaultApp location]
2018/12/22 15:17:05 MasterService.go:44: debug Inquiry :[Group defaultApp location]
2018/12/22 15:17:06 MasterService.go:44: debug Inquiry :[Group defaultApp location]
2018/12/22 15:17:07 MasterService.go:44: debug Inquiry :[Group defaultApp location]
2018/12/22 15:17:08 MasterService.go:44: debug Inquiry :[Group defaultApp location]
2018/12/22 15:17:09 MasterService.go:44: debug Inquiry :[Group defaultApp location]
2018/12/22 15:17:10 server.go:564: debug 127.0.0.1:52025
2018/12/22 15:17:10 MasterService.go:44: debug Inquiry :[Group defaultApp location]
2018/12/22 15:17:11 MasterService.go:44: debug Inquiry :[Group defaultApp location]
2018/12/22 15:17:11 MasterComponent.go:70: info Node [ 127.0.0.1:6605 ] connected to this master, roles: [ room  ]
2018/12/22 15:17:11 MasterService.go:44: debug Inquiry :[Group defaultApp location]
2018/12/22 15:17:12 MasterService.go:44: debug Inquiry :[Group defaultApp location]
2018/12/22 15:17:12 MasterService.go:44: debug Inquiry :[Group defaultApp location]
2018/12/22 15:17:13 MasterService.go:44: debug Inquiry :[Group defaultApp location]
2018/12/22 15:17:13 MasterService.go:44: debug Inquiry :[Group defaultApp location]
2018/12/22 15:17:14 MasterService.go:44: debug Inquiry :[Group defaultApp location]
2018/12/22 15:17:14 MasterService.go:44: debug Inquiry :[Group defaultApp location]
2018/12/22 15:17:15 MasterService.go:44: debug Inquiry :[Group defaultApp location]
2018/12/22 15:17:15 MasterService.go:44: debug Inquiry :[Group defaultApp location]
2018/12/22 15:17:16 MasterService.go:44: debug Inquiry :[Group defaultApp location]
2018/12/22 15:17:16 MasterService.go:44: debug Inquiry :[Group defaultApp location]
2018/12/22 15:17:17 MasterService.go:44: debug Inquiry :[Group defaultApp location]
2018/12/22 15:17:17 wshandler.go:73: debug TCP accept:127.0.0.1:52044
2018/12/22 15:17:17 DefaultGateComponent.go:66: debug client [ 127.0.0.1:52044 ] connected,session id :[ WPSu0iQlppDPLWqsY27Tmq ]
2018/12/22 15:17:17 MasterService.go:44: debug Inquiry :[Group defaultApp location]
2018/12/22 15:17:18 MasterService.go:44: debug Inquiry :[Group defaultApp location]
2018/12/22 15:17:18 MasterService.go:44: debug Inquiry :[Default defaultApp room]
2018/12/22 15:17:18 MasterService.go:44: debug Inquiry :[Default defaultApp room]
2018/12/22 15:17:18 MasterService.go:44: debug Inquiry :[Default defaultApp room]
2018/12/22 15:17:18 MasterService.go:44: debug Inquiry :[Default defaultApp room]
2018/12/22 15:17:18 MasterService.go:44: debug Inquiry :[Default defaultApp room]
2018/12/22 15:17:18 MasterService.go:44: debug Inquiry :[Default defaultApp room]
2018/12/22 15:17:18 MasterService.go:44: debug Inquiry :[Default defaultApp room]
2018/12/22 15:17:18 MasterService.go:44: debug Inquiry :[Default defaultApp room]
2018/12/22 15:17:18 MasterService.go:44: debug Inquiry :[Default defaultApp room]
2018/12/22 15:17:18 MasterService.go:44: debug Inquiry :[Default defaultApp room]
2018/12/22 15:17:18 MasterService.go:44: debug Inquiry :[Default defaultApp room]
2018/12/22 15:17:18 MasterService.go:44: debug Inquiry :[Default defaultApp room]
2018/12/22 15:17:18 MasterService.go:44: debug Inquiry :[Default defaultApp room]
2018/12/22 15:17:18 MasterService.go:44: debug Inquiry :[Default defaultApp room]
2018/12/22 15:17:18 MasterService.go:44: debug Inquiry :[Default defaultApp room]
2018/12/22 15:17:18 MasterService.go:44: debug Inquiry :[Default defaultApp room]
2018/12/22 15:17:18 MasterService.go:44: debug Inquiry :[Default defaultApp room]
2018/12/22 15:17:18 MasterService.go:44: debug Inquiry :[Default defaultApp room]
2018/12/22 15:17:18 MasterService.go:44: debug Inquiry :[Default defaultApp room]
2018/12/22 15:17:18 MasterService.go:44: debug Inquiry :[Default defaultApp room]
2018/12/22 15:17:18 MasterService.go:44: debug Inquiry :[Default defaultApp room]
2018/12/22 15:17:18 MasterService.go:44: debug Inquiry :[Default defaultApp room]
